Latitud,Longitud,Hora,Azimut [°],Elevacion [°],Distancia [Km]
-32.5583,132.1201,04:49:02,22.75,-7.74,3639.98
-32.6517,132.0966,04:49:03,22.65,-7.78,3645.94
-32.7139,132.0809,04:49:04,22.59,-7.82,3651.91
-32.7761,132.0651,04:49:05,22.52,-7.86,3657.88
-32.8383,132.0494,04:49:06,22.46,-7.91,3663.85
-32.9005,132.0336,04:49:07,22.36,-7.97,3672.81
-32.9938,132.0099,04:49:09,22.30,-8.01,3678.79
-33.0560,131.9941,04:49:10,22.24,-8.05,3684.77
-33.1182,131.9783,04:49:11,22.17,-8.09,3690.75
-33.1804,131.9625,04:49:12,22.11,-8.16,3699.73
-33.2737,131.9387,04:49:13,22.02,-8.20,3705.72
-33.3359,131.9228,04:49:14,21.96,-8.24,3711.71
-33.3981,131.9069,04:49:15,21.89,-8.28,3717.71
-33.4603,131.8910,04:49:16,21.83,-8.32,3723.71
-33.5225,131.8751,04:49:18,21.74,-8.39,3732.71
-33.6158,131.8511,04:49:19,21.68,-8.43,3738.72
-33.6779,131.8352,04:49:20,21.62,-8.47,3744.73
-33.7401,131.8192,04:49:21,21.56,-8.51,3750.74
-33.8023,131.8032,04:49:22,21.50,-8.55,3756.75
-33.8956,131.7791,04:49:23,21.41,-8.61,3765.78
-33.9577,131.7631,04:49:24,21.34,-8.65,3771.80
-34.0199,131.7470,04:49:25,21.28,-8.70,3777.82
-34.0821,131.7309,04:49:26,21.22,-8.74,3783.85
-34.1443,131.7148,04:49:27,21.17,-8.78,3792.89
-34.2375,131.6906,04:49:29,21.08,-8.84,3798.92
-34.2997,131.6745,04:49:30,21.02,-8.88,3804.96
-34.3618,131.6583,04:49:31,20.96,-8.92,3810.99
-34.4240,131.6421,04:49:32,20.90,-8.96,3817.03
-34.4861,131.6259,04:49:33,20.84,-9.03,3826.09
-34.5794,131.6016,04:49:34,20.75,-9.07,3832.14
-34.6415,131.5854,04:49:35,20.69,-9.11,3838.19
-34.7037,131.5691,04:49:36,20.64,-9.15,3844.24
-34.7658,131.5528,04:49:37,20.58,-9.19,3850.29
-34.8279,131.5365,04:49:38,20.49,-9.25,3859.37
-34.9212,131.5121,04:49:40,20.43,-9.29,3865.43
-34.9833,131.4957,04:49:41,20.38,-9.33,3871.49
-35.0454,131.4794,04:49:42,20.32,-9.37,3877.55
-35.1076,131.4630,04:49:43,20.26,-9.41,3883.62
-35.1697,131.4466,04:49:44,20.18,-9.48,3892.72
-35.2629,131.4220,04:49:45,20.12,-9.52,3898.79
-35.3250,131.4055,04:49:46,20.06,-9.56,3904.86
-35.3871,131.3891,04:49:47,20.01,-9.60,3910.94
-35.4493,131.3726,04:49:48,19.95,-9.64,3917.02
-35.5114,131.3561,04:49:49,19.87,-9.70,3926.14
-35.6045,131.3313,04:49:51,19.81,-9.74,3932.22
-35.6667,131.3148,04:49:52,19.76,-9.78,3938.30
-35.7288,131.2982,04:49:53,19.70,-9.82,3944.39
-35.7909,131.2816,04:49:54,19.65,-9.86,3950.48
-35.8840,131.2567,04:49:55,19.56,-9.92,3959.62
-35.9461,131.2401,04:49:56,19.51,-9.97,3965.71
-36.0082,131.2234,04:49:57,19.45,-10.01,3971.81
-36.0703,131.2067,04:49:58,19.40,-10.05,3977.90
-36.1324,131.1900,04:49:59,19.34,-10.11,3987.05
-36.2256,131.1650,04:50:01,19.26,-10.15,3993.16
-36.2877,131.1482,04:50:02,19.21,-10.19,3999.26
-36.3497,131.1315,04:50:03,19.16,-10.23,4005.37
-36.4118,131.1147,04:50:04,19.10,-10.27,4011.48
-36.4739,131.0979,04:50:05,19.02,-10.33,4020.64
-36.5670,131.0727,04:50:06,18.97,-10.37,4026.76
-36.6291,131.0558,04:50:07,18.92,-10.41,4032.87
-36.6912,131.0389,04:50:08,18.86,-10.45,4038.99
-36.7533,131.0220,04:50:09,18.81,-10.49,4045.11
-36.8153,131.0051,04:50:11,18.73,-10.55,4054.29
-36.9084,130.9797,04:50:12,18.68,-10.59,4060.41
-36.9705,130.9628,04:50:13,18.63,-10.63,4066.54
-37.0325,130.9458,04:50:14,18.57,-10.67,4072.66
-37.0946,130.9288,04:50:15,18.52,-10.71,4078.79
-37.1567,130.9117,04:50:16,18.44,-10.77,4087.99
