N	pi_value
1000	3.124
2000	3.128
3000	3.1506666666666665
4000	3.135
5000	3.1408
6000	3.1573333333333333
7000	3.1605714285714286
8000	3.1635
9000	3.1555555555555554
10000	3.1528
11000	3.1534545454545455
12000	3.149
13000	3.147076923076923
14000	3.1454285714285715
15000	3.1410666666666667
16000	3.1415
17000	3.1451764705882352
18000	3.144888888888889
19000	3.1429473684210527
20000	3.1444
21000	3.140952380952381
22000	3.139818181818182
23000	3.1372173913043477
24000	3.139
25000	3.14016
26000	3.139076923076923
27000	3.1376296296296298
28000	3.138
29000	3.14
30000	3.1421333333333332
31000	3.141548387096774
32000	3.143
33000	3.144
34000	3.144705882352941
35000	3.1449142857142856
36000	3.145888888888889
37000	3.1486486486486487
38000	3.1487368421052633
39000	3.1500512820512823
40000	3.152
41000	3.1542439024390245
42000	3.151809523809524
43000	3.1494883720930233
44000	3.1485454545454545
45000	3.146933333333333
46000	3.147217391304348
47000	3.148936170212766
48000	3.1478333333333333
49000	3.1471020408163266
50000	3.14952
51000	3.149019607843137
52000	3.1504615384615384
53000	3.1520754716981134
54000	3.153111111111111
55000	3.1530181818181817
56000	3.1517857142857144
57000	3.151298245614035
58000	3.1521379310344826
59000	3.1517966101694914
60000	3.150333333333333
61000	3.1500983606557376
62000	3.149483870967742
63000	3.1486984126984128
64000	3.148
65000	3.147507692307692
66000	3.14830303030303
67000	3.1480597014925373
68000	3.147529411764706
69000	3.147304347826087
70000	3.1456
71000	3.1463098591549294
72000	3.145388888888889
73000	3.146027397260274
74000	3.1456216216216215
75000	3.1461333333333332
76000	3.145421052631579
77000	3.145246753246753
78000	3.1454871794871795
79000	3.145012658227848
80000	3.1456
81000	3.14558024691358
82000	3.145219512195122
83000	3.144867469879518
84000	3.1458095238095236
85000	3.145694117647059
86000	3.145953488372093
87000	3.1462528735632183
88000	3.147090909090909
89000	3.1474606741573035
90000	3.1464
91000	3.1455824175824176
92000	3.145782608695652
93000	3.145763440860215
94000	3.1456170212765957
95000	3.1453473684210524
96000	3.145583333333333
97000	3.146639175257732
98000	3.146734693877551
99000	3.1473131313131315
100000	3.14716
101000	3.1472475247524754
102000	3.1472156862745098
103000	3.1476504854368934
104000	3.1467692307692308
105000	3.146209523809524
106000	3.1460377358490565
107000	3.1453831775700936
108000	3.1461111111111113
109000	3.1464954128440366
110000	3.1466545454545454
111000	3.1464504504504505
112000	3.1461071428571428
113000	3.1463008849557523
114000	3.1451228070175437
115000	3.1456347826086954
116000	3.146103448275862
117000	3.146188034188034
118000	3.146508474576271
119000	3.1462857142857144
120000	3.1461
121000	3.145884297520661
122000	3.146229508196721
123000	3.1461138211382114
124000	3.1458064516129034
125000	3.145088
126000	3.145047619047619
127000	3.14548031496063
128000	3.146375
129000	3.146015503875969
130000	3.1463384615384618
131000	3.146442748091603
132000	3.1467272727272726
133000	3.146436090225564
134000	3.1460298507462685
135000	3.1458666666666666
136000	3.1467058823529412
137000	3.1465693430656936
138000	3.1467536231884057
139000	3.1463309352517985
140000	3.1464857142857143
141000	3.1464397163120568
142000	3.146901408450704
143000	3.146825174825175
144000	3.146638888888889
145000	3.1463724137931033
146000	3.1455068493150686
147000	3.1455238095238096
148000	3.144972972972973
149000	3.145181208053691
150000	3.1442666666666668
151000	3.1444238410596026
152000	3.1441052631578947
153000	3.144156862745098
154000	3.144285714285714
155000	3.144206451612903
156000	3.1444358974358972
157000	3.1446114649681527
158000	3.144379746835443
159000	3.144301886792453
160000	3.144875
161000	3.1452919254658385
162000	3.1458518518518517
163000	3.145717791411043
164000	3.145390243902439
165000	3.1448242424242423
166000	3.1446265060240965
167000	3.1445269461077845
168000	3.144357142857143
169000	3.144118343195266
170000	3.144
171000	3.1432748538011697
172000	3.143
173000	3.1431676300578033
174000	3.1430574712643677
175000	3.143542857142857
176000	3.1431590909090907
177000	3.1430734463276835
178000	3.143640449438202
179000	3.143262569832402
180000	3.1434
181000	3.1432486187845305
182000	3.142659340659341
183000	3.1430163934426227
184000	3.143
185000	3.1423783783783783
186000	3.1420860215053765
187000	3.1423101604278076
188000	3.1420425531914895
189000	3.142074074074074
190000	3.142021052631579
191000	3.1413403141361256
192000	3.141375
193000	3.1412435233160623
194000	3.141175257731959
195000	3.1413128205128205
196000	3.141387755102041
197000	3.141685279187817
198000	3.1416161616161618
199000	3.1418492462311556
200000	3.14186
201000	3.1413930348258705
202000	3.1414455445544553
203000	3.1409655172413795
204000	3.1407254901960786
205000	3.140819512195122
206000	3.1410873786407767
207000	3.141545893719807
208000	3.141557692307692
209000	3.1413014354066986
210000	3.1413904761904763
211000	3.1415545023696683
212000	3.1416603773584906
213000	3.1418967136150235
214000	3.1417757009345793
215000	3.141860465116279
216000	3.1419814814814813
217000	3.141824884792627
218000	3.141743119266055
219000	3.141552511415525
220000	3.141490909090909
221000	3.141755656108597
222000	3.1415855855855854
223000	3.1420627802690584
224000	3.1415
225000	3.141191111111111
226000	3.1415575221238936
227000	3.1410925110132157
228000	3.141280701754386
229000	3.140943231441048
230000	3.140608695652174
231000	3.1405367965367965
232000	3.14048275862069
233000	3.140549356223176
234000	3.1405982905982905
235000	3.1405446808510638
236000	3.1405254237288136
237000	3.1403037974683543
238000	3.1402352941176472
239000	3.140284518828452
240000	3.1399666666666666
241000	3.14004979253112
242000	3.139917355371901
243000	3.139901234567901
244000	3.139688524590164
245000	3.139804081632653
246000	3.1399837398373984
247000	3.1398056680161943
248000	3.1398225806451614
249000	3.139839357429719
250000	3.140048
251000	3.140223107569721
252000	3.139952380952381
253000	3.1398735177865613
254000	3.140015748031496
255000	3.1400941176470587
256000	3.140171875
257000	3.14043579766537
258000	3.140372093023256
259000	3.1403706563706564
260000	3.140415384615385
261000	3.140505747126437
262000	3.1404274809160304
263000	3.1406996197718633
264000	3.140939393939394
265000	3.140709433962264
266000	3.1405563909774434
267000	3.140674157303371
268000	3.1405820895522387
269000	3.1406691449814126
270000	3.1405925925925926
271000	3.1403247232472324
272000	3.140014705882353
273000	3.139882783882784
274000	3.1401021897810217
275000	3.1404654545454544
276000	3.140304347826087
277000	3.140129963898917
278000	3.1399856115107916
279000	3.1401290322580646
280000	3.1400428571428574
281000	3.140156583629893
282000	3.140595744680851
283000	3.1403533568904596
284000	3.1406901408450705
285000	3.1403649122807016
286000	3.14034965034965
287000	3.1405993031358883
288000	3.1404722222222223
289000	3.140539792387543
290000	3.140662068965517
291000	3.140742268041237
292000	3.1402465753424655
293000	3.1405460750853242
294000	3.140503401360544
295000	3.1404203389830507
296000	3.1405135135135134
297000	3.1405117845117845
298000	3.140442953020134
299000	3.1403745819397995
300000	3.1401866666666667
301000	3.1402790697674416
302000	3.140370860927152
303000	3.1405280528052804
304000	3.1404473684210528
305000	3.1406819672131148
306000	3.140797385620915
307000	3.1408469055374595
308000	3.1406103896103894
309000	3.140336569579288
310000	3.1406193548387096
311000	3.1404887459807074
312000	3.140615384615385
313000	3.1406900958466455
314000	3.140917197452229
315000	3.140888888888889
316000	3.1407848101265823
317000	3.1405552050473187
318000	3.140553459119497
319000	3.140351097178683
320000	3.1400875
321000	3.1401246105919003
322000	3.140335403726708
323000	3.1402724458204334
324000	3.1401604938271603
325000	3.1401107692307693
326000	3.140368098159509
327000	3.1401223241590213
328000	3.139951219512195
329000	3.1399270516717324
